date,geo_type,pax_count
2005-07-31,Domestic,2425902
2005-07-31,International,799867
2005-08-31,Domestic,2405904
2005-08-31,International,789962
2005-09-30,Domestic,2067923
2005-09-30,International,672630
2005-10-31,Domestic,2095119
2005-10-31,International,675596
2005-11-30,Domestic,1998879
2005-11-30,International,618454
2005-12-31,Domestic,2003840
2005-12-31,International,667957
2006-01-31,Domestic,1777970
2006-01-31,International,670919
2006-02-28,Domestic,1654332
2006-02-28,International,568692
2006-03-31,Domestic,2021211
2006-03-31,International,687567
2006-04-30,Domestic,2060067
2006-04-30,International,713226
2006-05-31,Domestic,2098827
2006-05-31,International,730173
2006-06-30,Domestic,2283880
2006-06-30,International,787516
2006-07-31,Domestic,2388582
2006-07-31,International,839023
2006-08-31,Domestic,2329326
2006-08-31,International,814513
2006-09-30,Domestic,2031313
2006-09-30,International,688787
2006-10-31,Domestic,2125701
2006-10-31,International,709258
2006-11-30,Domestic,1989899
2006-11-30,International,663988
2006-12-31,Domestic,1984825
2006-12-31,International,713375
2007-01-31,Domestic,1796958
2007-01-31,International,710472
2007-02-28,Domestic,1693076
2007-02-28,International,611914
2007-03-31,Domestic,2085306
2007-03-31,International,734779
2007-04-30,Domestic,2135262
2007-04-30,International,733985
2007-05-31,Domestic,2285661
2007-05-31,International,771273
2007-06-30,Domestic,2450337
2007-06-30,International,813284
2007-07-31,Domestic,2514365
2007-07-31,International,868017
2007-08-31,Domestic,2579979
2007-08-31,International,856438
2007-09-30,Domestic,2215029
2007-09-30,International,742501
2007-10-31,Domestic,2369556
2007-10-31,International,759753
2007-11-30,Domestic,2213515
2007-11-30,International,708985
2007-12-31,Domestic,2144133
2007-12-31,International,759504
2008-01-31,Domestic,1917115
2008-01-31,International,752938
2008-02-29,Domestic,1936772
2008-02-29,International,658904
2008-03-31,Domestic,2343637
2008-03-31,International,783750
2008-04-30,Domestic,2298771
2008-04-30,International,730250
2008-05-31,Domestic,2516561
2008-05-31,International,789393
2008-06-30,Domestic,2622840
2008-06-30,International,830911
2008-07-31,Domestic,2733106
2008-07-31,International,870840
2008-08-31,Domestic,2738028
2008-08-31,International,874269
2008-09-30,Domestic,2293054
2008-09-30,International,711666
2008-10-31,Domestic,2410081
2008-10-31,International,714370
2008-11-30,Domestic,2128392
2008-11-30,International,616093
2008-12-31,Domestic,2263215
2008-12-31,International,699722
2009-01-31,Domestic,1969369
2009-01-31,International,675170
2009-02-28,Domestic,1823273
2009-02-28,International,536527
2009-03-31,Domestic,2279999
2009-03-31,International,645919
2009-04-30,Domestic,2333638
2009-04-30,International,691335
2009-05-31,Domestic,2486507
2009-05-31,International,690593
2009-06-30,Domestic,2653787
2009-06-30,International,765808
2009-07-31,Domestic,2821379
2009-07-31,International,828323
2009-08-31,Domestic,2816869
2009-08-31,International,833799
2009-09-30,Domestic,2470252
2009-09-30,International,721274
2009-10-31,Domestic,2559254
2009-10-31,International,690174
2009-11-30,Domestic,2359949
2009-11-30,International,611535
2009-12-31,Domestic,2405185
2009-12-31,International,669024
2010-01-31,Domestic,2129669
2010-01-31,International,655797
2010-02-28,Domestic,1953459
2010-02-28,International,561902
2010-03-31,Domestic,2432351
2010-03-31,International,673607
2010-04-30,Domestic,2462282
2010-04-30,International,676777
2010-05-31,Domestic,2604074
2010-05-31,International,776281
2010-06-30,Domestic,2766936
2010-06-30,International,845950
2010-07-31,Domestic,2854580
2010-07-31,International,911244
2010-08-31,Domestic,2883478
2010-08-31,International,888364
2010-09-30,Domestic,2575445
2010-09-30,International,780920
2010-10-31,Domestic,2713691
2010-10-31,International,776409
2010-11-30,Domestic,2506004
2010-11-30,International,657655
2010-12-31,Domestic,2475223
2010-12-31,International,691901
2011-01-31,Domestic,2188831
2011-01-31,International,694979
2011-02-28,Domestic,2027296
2011-02-28,International,583371
2011-03-31,Domestic,2444460
2011-03-31,International,684745
2011-04-30,Domestic,2485934
2011-04-30,International,714593
2011-05-31,Domestic,2733013
2011-05-31,International,814791
2011-06-30,Domestic,2916035
2011-06-30,International,850288
2011-07-31,Domestic,3038721
2011-07-31,International,896868
2011-08-31,Domestic,3029332
2011-08-31,International,888552
2011-09-30,Domestic,2781154
2011-09-30,International,783816
2011-10-31,Domestic,2829239
2011-10-31,International,773216
2011-11-30,Domestic,2676051
2011-11-30,International,650808
2011-12-31,Domestic,2721962
2011-12-31,International,719731
2012-01-31,Domestic,2491978
2012-01-31,International,719622
2012-02-29,Domestic,2381898
2012-02-29,International,616221
2012-03-31,Domestic,2760730
2012-03-31,International,711710
2012-04-30,Domestic,2800588
2012-04-30,International,762419
2012-05-31,Domestic,2955858
2012-05-31,International,864712
2012-06-30,Domestic,3187511
2012-06-30,International,919684
2012-07-31,Domestic,3337400
2012-07-31,International,947043
2012-08-31,Domestic,3403584
2012-08-31,International,952632
2012-09-30,Domestic,2981537
2012-09-30,International,837842
2012-10-31,Domestic,3035032
2012-10-31,International,809955
2012-11-30,Domestic,2789471
2012-11-30,International,689419
2012-12-31,Domestic,2711230
2012-12-31,International,731809
2013-01-31,Domestic,2497759
2013-01-31,International,706878
2013-02-28,Domestic,2353427
2013-02-28,International,613050
2013-03-31,Domestic,2860027
2013-03-31,International,733337
2013-04-30,Domestic,2852814
2013-04-30,International,751290
2013-05-31,Domestic,3051600
2013-05-31,International,881416
2013-06-30,Domestic,3211986
2013-06-30,International,934811
2013-07-31,Domestic,3219791
2013-07-31,International,956695
2013-08-31,Domestic,3362104
2013-08-31,International,984955
2013-09-30,Domestic,2921352
2013-09-30,International,859816
2013-10-31,Domestic,3072951
2013-10-31,International,837839
2013-11-30,Domestic,2760327
2013-11-30,International,706551
2013-12-31,Domestic,3037334
2013-12-31,International,777650
2014-01-31,Domestic,2665476
2014-01-31,International,767149
2014-02-28,Domestic,2407604
2014-02-28,International,670801
2014-03-31,Domestic,2982900
2014-03-31,International,782604
2014-04-30,Domestic,3074054
2014-04-30,International,807839
2014-05-31,Domestic,3211422
2014-05-31,International,935674
2014-06-30,Domestic,3337175
2014-06-30,International,984658
2014-07-31,Domestic,3474835
2014-07-31,International,1024386
2014-08-31,Domestic,3494105
2014-08-31,International,1030813
2014-09-30,Domestic,3042985
2014-09-30,International,876087
2014-10-31,Domestic,3216218
2014-10-31,International,843225
2014-11-30,Domestic,2896972
2014-11-30,International,731814
2014-12-31,Domestic,3041095
2014-12-31,International,814740
2015-01-31,Domestic,2742717
2015-01-31,International,807367
2015-02-28,Domestic,2528565
2015-02-28,International,719579
2015-03-31,Domestic,3157697
2015-03-31,International,843824
2015-04-30,Domestic,3155573
2015-04-30,International,866104
2015-05-31,Domestic,3357598
2015-05-31,International,1003542
2015-06-30,Domestic,3487784
2015-06-30,International,1070727
2015-07-31,Domestic,3661816
2015-07-31,International,1139332
2015-08-31,Domestic,3659585
2015-08-31,International,1137068
2015-09-30,Domestic,3247678
2015-09-30,International,953716
2015-10-31,Domestic,3422245
2015-10-31,International,952504
2015-11-30,Domestic,3178790
2015-11-30,International,835024
2015-12-31,Domestic,3214275
2015-12-31,International,914777
2016-01-31,Domestic,2832614
2016-01-31,International,915915
2016-02-29,Domestic,2746123
2016-02-29,International,797516
2016-03-31,Domestic,3227881
2016-03-31,International,909798
2016-04-30,Domestic,3244410
2016-04-30,International,928102
2016-05-31,Domestic,3522786
2016-05-31,International,1051210
2016-06-30,Domestic,3745243
2016-06-30,International,1176882
2016-07-31,Domestic,3905150
2016-07-31,International,1263574
2016-08-31,Domestic,3873557
2016-08-31,International,1237081
2016-09-30,Domestic,3463521
2016-09-30,International,1080238
2016-10-31,Domestic,3530551
2016-10-31,International,1041446
2016-11-30,Domestic,3344540
2016-11-30,International,921941
2016-12-31,Domestic,3300499
2016-12-31,International,1042870
2017-01-31,Domestic,2888610
2017-01-31,International,1009075
2017-02-28,Domestic,2644126
2017-02-28,International,837279
2017-03-31,Domestic,3350116
2017-03-31,International,985171
2017-04-30,Domestic,3362995
2017-04-30,International,1062925
2017-05-31,Domestic,3561756
2017-05-31,International,1136311
2017-06-30,Domestic,3829335
2017-06-30,International,1304775
2017-07-31,Domestic,4098395
2017-07-31,International,1398121
2017-08-31,Domestic,4135082
2017-08-31,International,1381755
2017-09-30,Domestic,3579260
2017-09-30,International,1156745
2017-10-31,Domestic,3764139
2017-10-31,International,1104535
2017-11-30,Domestic,3593895
2017-11-30,International,978807
2017-12-31,Domestic,3590008
2017-12-31,International,1070496
2018-01-31,Domestic,3144332
2018-01-31,International,1046035
2018-02-28,Domestic,2963364
2018-02-28,International,918817
2018-03-31,Domestic,3579413
2018-03-31,International,1094622
2018-04-30,Domestic,3630813
2018-04-30,International,1082370
2018-05-31,Domestic,3818359
2018-05-31,International,1207236
2018-06-30,Domestic,4039838
2018-06-30,International,1387306
2018-07-31,Domestic,4239662
2018-07-31,International,1452910
2018-08-31,Domestic,4129456
2018-08-31,International,1416403
2018-09-30,Domestic,3447522
2018-09-30,International,1201578
2018-10-31,Domestic,3674021
2018-10-31,International,1187761
2018-11-30,Domestic,3418372
2018-11-30,International,1090234
2018-12-31,Domestic,3404846
2018-12-31,International,1171603
2019-01-31,Domestic,3008022
2019-01-31,International,1148799
2019-02-28,Domestic,2763185
2019-02-28,International,989578
2019-03-31,Domestic,3449863
2019-03-31,International,1149326
2019-04-30,Domestic,3488572
2019-04-30,International,1204369
2019-05-31,Domestic,3665783
2019-05-31,International,1342218
2019-06-30,Domestic,3972171
2019-06-30,International,1494517
2019-07-31,Domestic,4081947
2019-07-31,International,1530365
2019-08-31,Domestic,4228225
2019-08-31,International,1514212
2019-09-30,Domestic,3192185
2019-09-30,International,1279223
2019-10-31,Domestic,3579123
2019-10-31,International,1245436
2019-11-30,Domestic,3229587
2019-11-30,International,1140876
2019-12-31,Domestic,3457356
2019-12-31,International,1263636
2020-01-31,Domestic,3038414
2020-01-31,International,1203337
2020-02-29,Domestic,2870854
2020-02-29,International,871370
2020-03-31,Domestic,1431537
2020-03-31,International,453929
2020-04-30,Domestic,121707
2020-04-30,International,17110
2020-05-31,Domestic,268489
2020-05-31,International,18081
2020-06-30,Domestic,510795
2020-06-30,International,44324
2020-07-31,Domestic,694324
2020-07-31,International,70950
2020-08-31,Domestic,750586
2020-08-31,International,101992
2020-09-30,Domestic,803620
2020-09-30,International,102372
2020-10-31,Domestic,952309
2020-10-31,International,121573
2020-11-30,Domestic,915530
2020-11-30,International,136787
2020-12-31,Domestic,760180
2020-12-31,International,158543
